subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
23,7,18,19,0.833333333333333,0.9375,15,3,1
23,8,18,18,0.944444444444444,1,17,1,0
23,9,18,18,0.833333333333333,1,15,3,0
23,10,18,19,0.777777777777778,0.933333333333333,14,4,1
23,11,18,18,0.888888888888889,1,16,2,0
23,12,18,32,0.166666666666667,0.176470588235294,3,15,14
23,13,18,18,0.388888888888889,1,7,11,0
23,14,18,18,1,1,18,0,0
23,15,18,23,0.388888888888889,0.583333333333333,7,11,5
23,16,18,25,0.833333333333333,0.681818181818182,15,3,7
23,17,18,18,1,1,18,0,0
